num,rate,round,ground truth,historical_cluster,current_cluster,train_loss,train_acc,test_loss,test_acc
10,0.125,1,[9],[9],[9],1.8493,0.3590,0.9647,0.8443
10,0.125,2,[9],[9],[9],0.8827,0.7229,0.3329,0.9176
10,0.125,3,[9],[9],[9],0.5977,0.8180,0.2286,0.9366
10,0.125,4,[9],[9],[9],0.4864,0.8566,0.1815,0.9466
10,0.125,5,[9],[9],[9],0.4264,0.8750,0.1547,0.9540
10,0.125,6,[9],[9],[9],0.3856,0.8871,0.1374,0.9583
10,0.125,7,[9],[9],[9],0.3576,0.8962,0.1226,0.9627
10,0.125,8,[9],[9],[9],0.3357,0.9038,0.1130,0.9668
10,0.125,9,[9],[9],[9],0.3171,0.9078,0.1071,0.9688
10,0.125,10,[9],[9],[9],0.3047,0.9144,0.0987,0.9711
10,0.125,11,[9],[9],[9],0.2893,0.9175,0.0930,0.9725
10,0.125,12,[9],[9],[9],0.2772,0.9207,0.0909,0.9728
10,0.125,13,[9],[9],[9],0.2677,0.9240,0.0877,0.9739
10,0.125,14,[9],[9],[9],0.2584,0.9267,0.0824,0.9751
10,0.125,15,[9],[9],[9],0.2507,0.9290,0.0806,0.9749
10,0.125,16,[9],[9],[9],0.2470,0.9299,0.0768,0.9755
10,0.125,17,[9],[9],[9],0.2383,0.9329,0.0748,0.9769
10,0.125,18,[9],[9],[9],0.2323,0.9339,0.0728,0.9765
10,0.125,19,[9],[9],[9],0.2248,0.9360,0.0694,0.9786
10,0.125,20,[9],[9],[9],0.2201,0.9355,0.0692,0.9786
10,0.125,21,[9],[9],[9],0.2155,0.9391,0.0667,0.9782
10,0.125,22,[9],[9],[9],0.2136,0.9396,0.0646,0.9795
10,0.125,23,[9],[9],[9],0.2064,0.9402,0.0641,0.9792
10,0.125,24,[9],[9],[9],0.2076,0.9412,0.0627,0.9799
10,0.125,25,[9],[9],[9],0.2038,0.9418,0.0609,0.9799
10,0.125,26,[9],[9],[9],0.2019,0.9424,0.0608,0.9807
10,0.125,27,[9],[9],[9],0.1955,0.9438,0.0596,0.9817
10,0.125,28,[9],[9],[9],0.1919,0.9459,0.0586,0.9805
10,0.125,29,[9],[9],[9],0.1885,0.9470,0.0578,0.9815
10,0.125,30,[9],[9],[9],0.1903,0.9460,0.0567,0.9817
10,0.125,31,[9],[9],[9],0.1882,0.9477,0.0565,0.9817
10,0.125,32,[9],[9],[9],0.1839,0.9478,0.0556,0.9823
10,0.125,33,[9],[9],[9],0.1848,0.9468,0.0548,0.9826
10,0.125,34,[9],[9],[9],0.1808,0.9495,0.0545,0.9825
10,0.125,35,[9],[9],[9],0.1780,0.9492,0.0538,0.9824
10,0.125,36,[9],[9],[9],0.1750,0.9507,0.0514,0.9831
10,0.125,37,[9],[9],[9],0.1769,0.9491,0.0516,0.9834
10,0.125,38,[9],[9],[9],0.1693,0.9513,0.0516,0.9831
